file_name;time_mean;time_std;battery;where;connection;service;metric;x;y;file_size
0140_009.2B.jpg;4.7729375;0.3113027860510962;0.015625;none_mobile;none;mobile;64885;1712;2200;398131
0667_005.2B.jpg;2.5392758620689655;0.038939418654149884;0.034482758620689655;none_mobile;none;mobile;30233;1712;2200;222961
0730_087.2B.jpg;2.6972105263157893;0.03153407142788125;0.05263157894736842;none_mobile;none;mobile;23433;2208;1700;181229
1090_030.2B.jpg;1.7832166666666667;0.04815233301867356;0.016666666666666666;none_mobile;none;mobile;19603;1712;2200;154347
1098_001.2B.jpg;33.8524;0.2825921088777959;0.2;none_mobile;none;mobile;168003;1712;2200;895632
1114_010.2B.jpg;12.920600000000002;0.11953995148066608;0.12;none_mobile;none;mobile;67433;1712;2200;404418
1170_019.2B.jpg;25.432;0.16305980497964642;0.2;none_mobile;none;mobile;137553;1712;2200;687135
1208_004.2B.jpg;50.0154;0.36004208087388745;0.6;none_mobile;none;mobile;198755;1712;2200;1049139
1360_044.2B.jpg;4.63184;0.043261491729558586;0.04;none_mobile;none;mobile;21587;1712;2200;149767
1398_043.2B.jpg;3.674892857142857;0.04758799979898008;0.03571428571428571;none_mobile;none;mobile;55793;1712;2200;359016
1464_021.2B.jpg;1.9282666666666668;0.023823594110957243;0.022222222222222223;none_mobile;none;mobile;24177;1712;2200;186176
1558_040.2B.jpg;3.129325;0.03584967725063029;0.025;none_mobile;none;mobile;12231;1712;2200;115885
1697_056.2B.jpg;8.287625;0.060919003603144756;0.125;none_mobile;none;mobile;47527;1712;2200;247880
1717_031.2B.jpg;4.033621621621622;0.040898486355685465;0.02702702702702703;none_mobile;none;mobile;31663;1712;2200;205160
1717_111.2B.jpg;1.9576862745098038;0.12406715765198756;0.0196078431372549;none_mobile;none;mobile;20617;2208;1700;164510
1788_060.2B.jpg;1.9103606557377049;0.029304170799214022;0.01639344262295082;none_mobile;none;mobile;13857;1712;2200;106640
1818_005.2B.jpg;3.716038461538462;0.05471122792936069;0.038461538461538464;none_mobile;none;mobile;46011;1712;2200;331363
1907_035.2B.jpg;3.6032580645161287;0.05373203125506884;0.03225806451612903;none_mobile;none;mobile;67359;1712;2200;416783
2007_071.2B.jpg;140.5924;2.004182576513431;0.2;none_mobile;none;mobile;255753;1712;2200;1212950
5008_029.2B.jpg;53.97420000000001;0.22081938320717973;0.2;none_mobile;none;mobile;130151;1712;2200;829462
5128_011.2B.jpg;14.842600000000001;0.04056229776528937;0.2;none_mobile;none;mobile;128001;1712;2200;703457
5248_035.2B.jpg;6.8120714285714286;0.029616690423616754;0.07142857142857142;none_mobile;none;mobile;94319;2208;1700;660379
5348_026.2B.jpg;40.9442;0.5773272035856292;0.4;none_mobile;none;mobile;54337;1712;2200;462136
5380_015.2B.jpg;4.841161290322581;0.08792348824373514;0.03225806451612903;none_mobile;none;mobile;75819;1712;2200;503773
5680_016.2B.jpg;50.369;0.2787543721630202;0.4;none_mobile;none;mobile;173551;1712;2200;588780
5715_135.2B.jpg;13.24475;0.30818906534787965;0.125;none_mobile;none;mobile;96873;1704;2200;542325
5830_462.2B.jpg;5.4955;0.02086692529886903;0.125;none_mobile;none;mobile;67133;1704;2200;445331
