file_name;time_mean;time_std;battery;where;connection;service;metric;x;y;file_size
1558_040.2B.jpg;3.129325;0.03584967725063027;0.025;none_mobile;none;mobile;12231;1712;2200;115885
5964_089.2B.jpg;3.260029411764706;0.028870122223836375;0.029411764705882353;none_mobile;none;mobile;12369;1704;2200;108633
1788_060.2B.jpg;1.9103606557377049;0.02930417079921404;0.01639344262295082;none_mobile;none;mobile;13857;1712;2200;106640
1090_030.2B.jpg;1.7832166666666667;0.04815233301867357;0.016666666666666666;none_mobile;none;mobile;19603;1712;2200;154347
1717_111.2B.jpg;1.9576862745098038;0.12406715765198756;0.0196078431372549;none_mobile;none;mobile;20617;2208;1700;164510
1360_044.2B.jpg;4.63184;0.04326149172955862;0.04;none_mobile;none;mobile;21587;1712;2200;149767
5954_078.2B.jpg;4.320028571428571;0.03434555002795392;0.02857142857142857;none_mobile;none;mobile;22371;1704;2200;170870
0730_087.2B.jpg;2.6972105263157893;0.0315340714278812;0.05263157894736842;none_mobile;none;mobile;23433;2208;1700;181229
1464_021.2B.jpg;1.9282666666666668;0.023823594110957264;0.022222222222222223;none_mobile;none;mobile;24177;1712;2200;186176
8230_026.2B.jpg;2.9123720930232557;0.02419467007009323;0.023255813953488372;none_mobile;none;mobile;25549;1712;2200;156253
0667_005.2B.jpg;2.5392758620689655;0.038939418654149856;0.034482758620689655;none_mobile;none;mobile;30233;1712;2200;222961
1717_031.2B.jpg;4.033621621621621;0.04089848635568546;0.02702702702702703;none_mobile;none;mobile;31663;1712;2200;205160
6617_014.2B.jpg;3.974666666666667;0.29107453446735004;0.037037037037037035;none_mobile;none;mobile;35677;2200;1700;253359
6585_486.2B.jpg;8.484249999999998;0.20360662830789458;0.08333333333333333;none_mobile;none;mobile;37953;2200;1700;279707
1818_005.2B.jpg;3.716038461538462;0.05471122792936074;0.038461538461538464;none_mobile;none;mobile;46011;1712;2200;331363
1697_056.2B.jpg;8.287625;0.060919003603145026;0.125;none_mobile;none;mobile;47527;1712;2200;247880
8200_016.2B.jpg;6.543799999999999;0.04325069042480391;0.1;none_mobile;none;mobile;49295;1712;2200;270562
8247_028.2B.jpg;13.154571428571428;0.07807444554794521;0.14285714285714285;none_mobile;none;mobile;53733;1712;2200;297364
7701_038.2B.jpg;11.247625000000001;0.10751602870535822;0.125;none_mobile;none;mobile;53901;1712;2200;275158
5348_026.2B.jpg;40.9442;0.5773272035856283;0.4;none_mobile;none;mobile;54337;1712;2200;462136
1398_043.2B.jpg;3.674892857142857;0.047587999798980034;0.03571428571428571;none_mobile;none;mobile;55793;1712;2200;359016
5975_024.2B.jpg;4.30825;0.04740262924415962;0.03571428571428571;none_mobile;none;mobile;56439;1704;2200;442901
8047_018.2B.jpg;12.754083333333332;0.08681480637575963;0.08333333333333333;none_mobile;none;mobile;57265;1712;2200;386206
8250_004.2B.jpg;7.1438571428571445;0.06754355534121573;0.07142857142857142;none_mobile;none;mobile;59121;2208;1700;334724
6584_004.2B.jpg;3.6587142857142863;0.05439897680332492;0.03571428571428571;none_mobile;none;mobile;59127;1704;2200;396062
6580_125.2B.jpg;5.8918333333333335;0.027917139299481534;0.16666666666666666;none_mobile;none;mobile;60167;2200;1700;425114
6814_006.2B.jpg;13.2626;0.0808257384748202;0.2;none_mobile;none;mobile;63127;1704;2200;506177
8237_018.2B.jpg;11.577625;0.05271740699237771;0.125;none_mobile;none;mobile;64239;2208;1700;378939
0140_009.2B.jpg;4.7729375;0.31130278605109624;0.015625;none_mobile;none;mobile;64885;1712;2200;398131
8250_010.2B.jpg;15.702631578947367;0.3973181219859969;0.05263157894736842;none_mobile;none;mobile;65075;1712;2200;359640
5830_462.2B.jpg;5.4955;0.02086692529886885;0.125;none_mobile;none;mobile;67133;1704;2200;445331
1907_035.2B.jpg;3.6032580645161287;0.05373203125506892;0.03225806451612903;none_mobile;none;mobile;67359;1712;2200;416783
1114_010.2B.jpg;12.920600000000002;0.11953995148066578;0.0;none_mobile;none;mobile;67433;1712;2200;404418
5380_015.2B.jpg;4.841161290322581;0.08792348824373511;0.03225806451612903;none_mobile;none;mobile;75819;1712;2200;503773
5248_035.2B.jpg;6.8120714285714286;0.029616690423616858;0.07142857142857142;none_mobile;none;mobile;94319;2208;1700;660379
5715_135.2B.jpg;13.24475;0.3081890653478803;0.125;none_mobile;none;mobile;96873;1704;2200;542325
8067_039.2B.jpg;36.9002;0.13459829122243766;0.2;none_mobile;none;mobile;104147;1712;2200;552167
8030_070.2B.jpg;35.181799999999996;0.05830694641292673;0.2;none_mobile;none;mobile;105213;1712;2200;568664
8347_051.3A.jpg;36.342200000000005;0.4435861810291201;0.2;none_mobile;none;mobile;116657;2552;3300;653604
8327_147.3A.jpg;9.607000000000001;0.149053681604984;0.2;none_mobile;none;mobile;120207;2552;3300;749666
5128_011.2B.jpg;14.842600000000001;0.04056229776528937;0.2;none_mobile;none;mobile;128001;1712;2200;703457
5008_029.2B.jpg;53.97420000000001;0.22081938320718145;0.2;none_mobile;none;mobile;130151;1712;2200;829462
1170_019.2B.jpg;25.432;0.1630598049796454;0.2;none_mobile;none;mobile;137553;1712;2200;687135
9560_036.4B.jpg;10.654333333333332;0.14764371529688172;0.16666666666666666;none_mobile;none;mobile;152703;3400;4400;1271899
8371_045.3A.jpg;17.81114285714286;0.1610739256484725;0.14285714285714285;none_mobile;none;mobile;167679;2552;3300;1076291
1098_001.2B.jpg;33.8524;0.28259210887779573;0.2;none_mobile;none;mobile;168003;1712;2200;895632
